,Unnamed: 0,0
0,0,-113.48774410452572
1,1,-117.97888952176909
2,2,-115.1706407309794
3,3,-115.6047135040347
4,4,-110.34797636498415
5,5,-112.88544391126592
6,6,-112.9836076813817
7,7,-110.2419427472572
8,8,-112.47828639887709
9,9,-112.22701509030462
10,10,-111.83779759339123
11,11,-109.4397411771035
12,12,-109.51124755907414
13,13,-109.35422820847789
14,14,-110.9049454030348
15,15,-110.4961053916238
16,16,-110.39124941118708
17,17,-111.30357442738578
18,18,-109.96962086734449
19,19,-111.9904492249234
20,20,-112.96804797096178
21,21,-109.38151137112725
22,22,-112.85973226266093
23,23,-109.55343210120895
24,24,-109.02572073985499
25,25,-110.55473248906068
26,26,-108.74898397980171
27,27,-110.07500648938051
28,28,-108.22290834026563
29,29,-111.57540581774971
30,30,-112.93146123485023
31,31,-110.9262326767122
32,32,-111.8636408285798
33,33,-112.37824021382583
34,34,-111.11182002976095
35,35,-114.22989147442858
36,36,-110.27027622263071
37,37,-110.76420904309246
38,38,-111.83103537158807
39,39,-109.45304919388205
40,40,-109.57803051835943
41,41,-119.23417968860632
42,42,-111.20989832901822
43,43,-111.8777411849198
44,44,-112.71645310199192
45,45,-111.93659371196215
46,46,-111.05154111605712
47,47,-136.5222518022938
48,48,-122.7422236284818
49,49,-116.0021288125071
