,Unnamed: 0,0
0,0,-22.750527213558797
1,1,-111.98129218848729
2,2,-117.52503451950192
3,3,-118.05569937253135
4,4,-121.5834016438476
5,5,-114.47234543257623
6,6,-119.24119678293056
7,7,-113.17803662848169
8,8,-107.92054497243277
9,9,-33.463521080236035
10,10,-97.27699068853107
11,11,-112.48315561886652
12,12,-69.30905165599569
13,13,-28.576087860254237
14,14,-40.28151339714646
15,15,-105.91435499445332
16,16,-96.21442516579916
17,17,-37.35176120964244
18,18,-109.2033861730437
19,19,-113.5601124293371
20,20,-106.43384324986559
21,21,-38.1165927761329
22,22,-116.34604196989551
23,23,-170.22945498728822
24,24,-51.74719150230379
25,25,-65.49262427396594
26,26,-30.748977443188306
27,27,-142.12417249761768
28,28,-120.93688760829916
29,29,-121.11512547122669
30,30,-121.67462784861263
31,31,-122.7355669303303
32,32,-121.81216980218949
33,33,-122.35406242032818
34,34,-116.4256533398063
35,35,-120.14816358153108
36,36,-110.7181313867836
37,37,-129.2379192927423
38,38,-116.53540950147793
39,39,-49.908364015109406
40,40,-139.57623256694896
41,41,-55.783960945875556
42,42,-118.93626624929256
43,43,-132.496183214754
44,44,-99.87997249231267
45,45,-35.428169984351406
46,46,-36.32341349650222
47,47,-20.93950502612845
48,48,-101.56620304292795
49,49,-100.15282554429231
