,0
0,277.41269438128705
1,262.0661390207302
2,263.76380985714485
3,266.1294348176305
4,259.46329123888324
5,240.9642050308261
6,252.53349095963952
7,260.6892931561652
8,266.5163750508461
9,259.6363926647155
