,Unnamed: 0,0
0,0,-131.53477326427614
1,1,-162.0861778947218
2,2,-116.3382402632522
3,3,-117.04420593361245
4,4,-117.52276180080678
5,5,-108.3449388795583
6,6,-113.45056386132391
7,7,-116.0468206282554
8,8,-127.86409636054847
9,9,-125.79415425218487
10,10,-111.92993540648013
11,11,-115.77813238453604
12,12,-110.55296199859512
13,13,-114.1843101763969
14,14,-117.94553228383259
15,15,-128.02640065944104
16,16,-133.45930705521866
17,17,-124.14899566404392
18,18,-136.3528667441029
19,19,-127.35866925966525
20,20,-118.4795141736841
21,21,-119.15947661483786
22,22,-148.7044333518264
23,23,-136.78087060719014
24,24,-121.51988843965677
25,25,-116.14234238400938
26,26,-127.99232763068441
27,27,-117.71995088523848
28,28,-119.44424496603114
29,29,-119.71420965690952
30,30,-112.92129117677149
31,31,-112.2735177948048
32,32,-118.03620951734415
33,33,-128.58390881651025
34,34,-118.49448364720759
35,35,-113.62049503197923
36,36,-111.09187979132126
37,37,-124.02502657109152
38,38,-113.61915797706058
39,39,-117.5613984430523
40,40,-113.81234608511178
41,41,-113.4154745539168
42,42,-118.71376463535013
43,43,-114.0963672719014
44,44,-114.51273927929981
45,45,-122.07935216396544
46,46,-119.29110643443786
47,47,-120.28138215844432
48,48,-118.58344018260149
49,49,-123.58876325137258
