,Unnamed: 0,0
0,0,-50.31779152542144
1,1,130.30957384386107
2,2,114.77187618616982
3,3,-3.59464509208658
4,4,-21.099377789196595
5,5,136.66615577221296
6,6,-25.86008577329102
7,7,113.85157157548228
8,8,148.0889263348429
9,9,-58.22087946497095
10,10,140.38761800222426
11,11,-55.18116005843309
12,12,163.4541644519614
13,13,194.3289124130074
14,14,-61.6635412346983
15,15,-58.67304500773659
16,16,-10.966968088159973
17,17,152.86339333400392
18,18,-24.187075933929748
19,19,232.76831446041427
20,20,141.92421128356034
21,21,-22.756480922464604
22,22,-70.08872881037928
23,23,-54.070701039206355
24,24,125.99423151683165
25,25,131.6268168803796
26,26,168.16291162673338
27,27,168.29665941556118
28,28,-72.9511515401244
29,29,117.19663401644121
30,30,101.5086295145797
31,31,117.25408398386992
32,32,148.96552810261898
33,33,-33.837769241156366
34,34,-79.86528026061924
35,35,-85.71843183073784
36,36,-9.435681839655203
37,37,-69.31245797754693
38,38,154.93610034516257
39,39,-67.98609065117745
40,40,174.98419086232613
41,41,-94.22992353581553
42,42,-74.28237755640923
43,43,148.2598832826092
44,44,-74.98400553454536
45,45,118.50218884774145
46,46,-15.339904407810636
47,47,-44.8233109576648
48,48,-31.279608985123915
49,49,-102.6817631330612
